Pet_Name,Breed,Pet_Type,Age_Years,Weight_kg,Temperature_C,Heartbeat_BPM,Health_Status,Current_Behavior,Recommendation
Oscar,Labrador Retriever,Dog,15,29.0,40.8,145,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Buddy,Beagle,Dog,2,6.6,38.83,118,Normal,Active and Happy,Continue regular monitoring
Tiger,Siamese,Cat,6,2.4,38.5,138,Normal,Active and Happy,Continue regular monitoring
Coco,Persian,Cat,16,4.1,38.55,130,Normal,Calm and Relaxed,Continue regular monitoring
Zoe,Persian,Cat,7,7.9,38.45,139,Normal,Active and Happy,Continue regular monitoring
Jack,Domestic Shorthair,Cat,2,6.3,38.55,130,Normal,Active and Happy,Continue regular monitoring
Oscar,Persian,Cat,6,5.7,38.07,124,Normal,Active and Happy,Continue regular monitoring
Cooper,Domestic Shorthair,Cat,6,6.6,39.13,148,Normal,Active and Happy,Continue regular monitoring
Milo,Chihuahua,Dog,14,4.8,38.8,116,Normal,Calm and Relaxed,Continue regular monitoring
Luna,Maine Coon,Cat,1,36.7,38.26,113,Normal,Active and Happy,Continue regular monitoring
Molly,Sphynx,Cat,5,5.5,39.6,156,Normal,Active and Happy,Continue regular monitoring
Leo,Golden Retriever,Dog,3,26.3,37.55,168,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Molly,Maine Coon,Cat,13,28.0,38.1,130,Normal,Calm and Relaxed,Continue regular monitoring
Toby,German Shepherd,Dog,3,40.6,38.68,99,Normal,Active and Happy,Continue regular monitoring
Molly,Bulldog,Dog,7,20.9,38.91,89,Normal,Active and Happy,Continue regular monitoring
Jack,Ragdoll,Cat,13,31.6,38.61,108,Normal,Calm and Relaxed,Continue regular monitoring
Milo,Labrador Retriever,Dog,2,29.8,38.21,95,Normal,Active and Happy,Continue regular monitoring
Lucy,Siamese,Cat,9,4.6,38.99,111,Normal,Active and Happy,Continue regular monitoring
Oscar,Golden Retriever,Dog,13,40.2,38.43,100,Normal,Calm and Relaxed,Continue regular monitoring
Charlie,Persian,Cat,1,4.1,37.96,129,Normal,Active and Happy,Continue regular monitoring
Jack,Ragdoll,Cat,9,26.7,40.79,143,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Cooper,Beagle,Dog,9,1.0,38.73,117,Normal,Active and Happy,Continue regular monitoring
Rocky,Beagle,Dog,15,1.0,40.53,164,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Bella,Ragdoll,Cat,8,40.9,38.66,128,Normal,Active and Happy,Continue regular monitoring
Cooper,Beagle,Dog,8,2.1,39.58,149,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Leo,Ragdoll,Cat,3,28.3,38.49,119,Normal,Active and Happy,Continue regular monitoring
Toby,Domestic Shorthair,Cat,9,6.7,38.88,124,Normal,Active and Happy,Continue regular monitoring
Buddy,Persian,Cat,6,1.0,39.03,168,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Coco,Poodle,Dog,13,17.4,38.71,109,Normal,Calm and Relaxed,Continue regular monitoring
Charlie,Labrador Retriever,Dog,10,37.7,40.44,147,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Milo,Siamese,Cat,4,1.0,38.54,110,Normal,Active and Happy,Continue regular monitoring
Zoe,Bulldog,Dog,3,16.8,40.22,172,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Rocky,German Shepherd,Dog,11,20.1,38.64,88,Normal,Active and Happy,Continue regular monitoring
Coco,Labrador Retriever,Dog,9,42.2,40.45,184,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Buddy,Golden Retriever,Dog,7,32.1,40.62,190,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Rocky,Beagle,Dog,10,5.6,38.67,107,Normal,Active and Happy,Continue regular monitoring
Zoe,Ragdoll,Cat,1,38.5,38.86,123,Normal,Active and Happy,Continue regular monitoring
Charlie,German Shepherd,Dog,1,24.0,38.81,91,Normal,Active and Happy,Continue regular monitoring
Oscar,Persian,Cat,7,6.3,37.87,175,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Simba,Sphynx,Cat,2,1.5,39.45,140,Normal,Active and Happy,Continue regular monitoring
Rocky,Domestic Shorthair,Cat,14,4.6,40.23,132,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Coco,Sphynx,Cat,3,7.4,39.62,128,Normal,Active and Happy,Continue regular monitoring
Molly,Bengal,Cat,8,11.2,40.4,161,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Jack,Golden Retriever,Dog,11,32.8,38.53,79,Normal,Active and Happy,Continue regular monitoring
Tiger,Maine Coon,Cat,9,29.7,38.17,107,Normal,Active and Happy,Continue regular monitoring
Oscar,Ragdoll,Cat,1,30.3,38.59,120,Normal,Active and Happy,Continue regular monitoring
Tiger,Siamese,Cat,7,8.6,38.7,138,Normal,Active and Happy,Continue regular monitoring
Simba,Bengal,Cat,2,17.4,38.43,132,Normal,Active and Happy,Continue regular monitoring
Cooper,Persian,Cat,7,2.9,38.32,146,Normal,Active and Happy,Continue regular monitoring
Luna,Golden Retriever,Dog,4,37.1,38.85,95,Normal,Active and Happy,Continue regular monitoring
Leo,Labrador Retriever,Dog,9,35.7,38.49,89,Normal,Active and Happy,Continue regular monitoring
Cooper,Poodle,Dog,14,6.8,38.61,88,Normal,Calm and Relaxed,Continue regular monitoring
Coco,Bulldog,Dog,8,2.5,37.61,177,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Simba,Bulldog,Dog,10,14.6,38.96,105,Normal,Active and Happy,Continue regular monitoring
Simba,German Shepherd,Dog,3,26.6,40.7,172,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Simba,Domestic Shorthair,Cat,15,3.4,38.42,127,Normal,Calm and Relaxed,Continue regular monitoring
Zoe,Bulldog,Dog,1,11.3,38.37,85,Normal,Active and Happy,Continue regular monitoring
Max,Siamese,Cat,5,5.5,38.64,119,Normal,Active and Happy,Continue regular monitoring
Charlie,Poodle,Dog,1,17.3,38.83,94,Normal,Active and Happy,Continue regular monitoring
Milo,Labrador Retriever,Dog,13,20.1,37.48,143,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Charlie,Sphynx,Cat,5,6.3,37.41,220,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Daisy,Siamese,Cat,17,6.6,38.86,116,Normal,Calm and Relaxed,Continue regular monitoring
Oscar,Labrador Retriever,Dog,16,24.0,38.56,62,Normal,Calm and Relaxed,Continue regular monitoring
Daisy,Golden Retriever,Dog,11,41.5,38.65,102,Normal,Active and Happy,Continue regular monitoring
Daisy,Bulldog,Dog,6,19.1,38.1,159,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Rocky,Beagle,Dog,6,3.2,38.64,93,Normal,Active and Happy,Continue regular monitoring
Simba,Bulldog,Dog,14,2.1,37.82,164,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Coco,Maine Coon,Cat,4,46.0,38.38,128,Normal,Active and Happy,Continue regular monitoring
Simba,Siamese,Cat,8,9.9,38.68,147,Normal,Active and Happy,Continue regular monitoring
Cooper,Siamese,Cat,11,6.2,39.61,152,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Buddy,Bulldog,Dog,16,17.7,38.53,87,Normal,Calm and Relaxed,Continue regular monitoring
Luna,Persian,Cat,4,6.3,38.4,136,Normal,Active and Happy,Continue regular monitoring
Max,German Shepherd,Dog,17,27.9,38.3,84,Normal,Calm and Relaxed,Continue regular monitoring
Buddy,Poodle,Dog,6,8.4,38.72,85,Normal,Active and Happy,Continue regular monitoring
Toby,Labrador Retriever,Dog,4,23.6,40.43,146,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Jack,Chihuahua,Dog,3,5.3,39.35,124,Normal,Active and Happy,Continue regular monitoring
Molly,Ragdoll,Cat,2,38.3,38.35,104,Normal,Active and Happy,Continue regular monitoring
Bella,Sphynx,Cat,13,10.6,38.87,127,Normal,Calm and Relaxed,Continue regular monitoring
Max,Sphynx,Cat,7,4.5,39.35,132,Normal,Active and Happy,Continue regular monitoring
Milo,Ragdoll,Cat,5,25.0,38.31,127,Normal,Active and Happy,Continue regular monitoring
Charlie,German Shepherd,Dog,8,16.5,38.42,103,Normal,Active and Happy,Continue regular monitoring
Jack,Beagle,Dog,3,6.5,38.98,113,Normal,Active and Happy,Continue regular monitoring
Toby,Beagle,Dog,2,4.3,39.97,150,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Leo,Beagle,Dog,6,7.5,37.96,160,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Oscar,Chihuahua,Dog,1,5.6,38.56,123,Normal,Active and Happy,Continue regular monitoring
Tiger,Bengal,Cat,11,12.9,40.98,190,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Rocky,Beagle,Dog,6,4.7,38.66,109,Normal,Active and Happy,Continue regular monitoring
Bella,Poodle,Dog,11,16.6,38.5,105,Normal,Active and Happy,Continue regular monitoring
Oscar,Ragdoll,Cat,2,34.1,38.4,105,Normal,Active and Happy,Continue regular monitoring
Coco,Beagle,Dog,4,6.2,37.71,199,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Cooper,Siamese,Cat,4,2.5,39.84,152,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Luna,Persian,Cat,1,9.6,38.32,148,Normal,Active and Happy,Continue regular monitoring
Charlie,Chihuahua,Dog,14,7.0,40.56,199,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Molly,Domestic Shorthair,Cat,17,8.9,38.81,134,Normal,Calm and Relaxed,Continue regular monitoring
Milo,Poodle,Dog,9,21.8,38.91,96,Normal,Active and Happy,Continue regular monitoring
Oscar,Chihuahua,Dog,5,5.2,38.75,126,Normal,Active and Happy,Continue regular monitoring
Luna,Chihuahua,Dog,8,7.3,40.08,158,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Zoe,Domestic Shorthair,Cat,5,6.0,38.23,117,Normal,Active and Happy,Continue regular monitoring
Simba,Chihuahua,Dog,13,3.7,39.11,127,Normal,Calm and Relaxed,Continue regular monitoring
Max,Sphynx,Cat,2,6.8,39.17,150,Normal,Active and Happy,Continue regular monitoring
Daisy,Golden Retriever,Dog,1,25.9,38.05,85,Normal,Active and Happy,Continue regular monitoring
Toby,Chihuahua,Dog,15,7.9,38.53,122,Normal,Calm and Relaxed,Continue regular monitoring
Lucy,German Shepherd,Dog,14,29.7,38.65,74,Normal,Calm and Relaxed,Continue regular monitoring
Cooper,Maine Coon,Cat,12,35.5,38.52,122,Normal,Active and Happy,Continue regular monitoring
Daisy,German Shepherd,Dog,12,39.1,38.53,88,Normal,Active and Happy,Continue regular monitoring
Oscar,Persian,Cat,17,4.0,38.73,119,Normal,Calm and Relaxed,Continue regular monitoring
Oscar,Sphynx,Cat,3,3.6,39.01,155,Normal,Active and Happy,Continue regular monitoring
Coco,German Shepherd,Dog,12,44.4,38.48,89,Normal,Active and Happy,Continue regular monitoring
Leo,German Shepherd,Dog,8,31.0,38.65,87,Normal,Active and Happy,Continue regular monitoring
Bella,German Shepherd,Dog,17,30.8,37.9,76,Normal,Calm and Relaxed,Continue regular monitoring
Jack,Ragdoll,Cat,17,34.4,40.31,161,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Buddy,Domestic Shorthair,Cat,9,5.1,38.71,123,Normal,Active and Happy,Continue regular monitoring
Daisy,Domestic Shorthair,Cat,14,4.7,38.68,118,Normal,Calm and Relaxed,Continue regular monitoring
Max,Bulldog,Dog,14,17.5,38.93,76,Normal,Calm and Relaxed,Continue regular monitoring
Max,Siamese,Cat,8,4.6,38.69,129,Normal,Active and Happy,Continue regular monitoring
Simba,German Shepherd,Dog,14,27.4,37.8,125,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Rocky,Labrador Retriever,Dog,6,26.2,39.84,145,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Coco,Chihuahua,Dog,16,3.9,39.05,135,Normal,Calm and Relaxed,Continue regular monitoring
Max,Maine Coon,Cat,4,18.4,37.91,126,Normal,Active and Happy,Continue regular monitoring
Max,Bulldog,Dog,13,19.9,38.76,83,Normal,Calm and Relaxed,Continue regular monitoring
Simba,Beagle,Dog,4,1.9,37.19,175,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Charlie,Ragdoll,Cat,9,32.8,40.45,125,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Tiger,Domestic Shorthair,Cat,5,4.7,38.41,135,Normal,Active and Happy,Continue regular monitoring
Charlie,Maine Coon,Cat,9,27.9,38.68,135,Normal,Active and Happy,Continue regular monitoring
Lucy,Bulldog,Dog,9,17.2,38.6,85,Normal,Active and Happy,Continue regular monitoring
Oscar,Ragdoll,Cat,2,45.7,38.62,119,Normal,Active and Happy,Continue regular monitoring
Coco,Poodle,Dog,1,19.7,38.87,101,Normal,Active and Happy,Continue regular monitoring
Toby,Poodle,Dog,8,10.4,38.74,79,Normal,Active and Happy,Continue regular monitoring
Luna,Labrador Retriever,Dog,1,26.2,38.77,99,Normal,Active and Happy,Continue regular monitoring
Leo,Maine Coon,Cat,3,34.4,39.94,172,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Ruby,Persian,Cat,17,6.8,38.58,126,Normal,Calm and Relaxed,Continue regular monitoring
Charlie,Maine Coon,Cat,2,37.6,38.22,115,Normal,Active and Happy,Continue regular monitoring
Jack,Ragdoll,Cat,7,43.4,39.64,157,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Charlie,Bengal,Cat,3,5.0,38.7,113,Normal,Active and Happy,Continue regular monitoring
Toby,Sphynx,Cat,4,11.2,39.22,135,Normal,Active and Happy,Continue regular monitoring
Lucy,German Shepherd,Dog,11,30.6,39.42,116,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Milo,German Shepherd,Dog,10,33.2,36.99,166,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Luna,Ragdoll,Cat,8,27.7,38.41,122,Normal,Active and Happy,Continue regular monitoring
Max,Labrador Retriever,Dog,14,38.9,38.41,84,Normal,Calm and Relaxed,Continue regular monitoring
Rocky,Bengal,Cat,9,17.4,38.88,116,Normal,Active and Happy,Continue regular monitoring
Toby,Labrador Retriever,Dog,5,34.0,39.15,156,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Leo,Poodle,Dog,4,14.2,38.71,93,Normal,Active and Happy,Continue regular monitoring
Buddy,Bulldog,Dog,6,16.0,38.62,95,Normal,Active and Happy,Continue regular monitoring
Coco,Bengal,Cat,9,2.7,38.72,140,Normal,Active and Happy,Continue regular monitoring
Ruby,Bengal,Cat,6,20.5,38.54,132,Normal,Active and Happy,Continue regular monitoring
Cooper,Poodle,Dog,16,11.7,38.69,115,Normal,Calm and Relaxed,Continue regular monitoring
Milo,Labrador Retriever,Dog,10,38.8,38.79,79,Normal,Active and Happy,Continue regular monitoring
Luna,Beagle,Dog,2,8.3,37.38,186,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Luna,Ragdoll,Cat,9,32.4,39.46,163,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Luna,Ragdoll,Cat,1,28.9,38.52,120,Normal,Active and Happy,Continue regular monitoring
Leo,Labrador Retriever,Dog,5,37.0,38.12,68,Normal,Active and Happy,Continue regular monitoring
Coco,Poodle,Dog,2,23.8,38.9,96,Normal,Active and Happy,Continue regular monitoring
Bella,German Shepherd,Dog,14,20.7,38.29,95,Normal,Calm and Relaxed,Continue regular monitoring
Molly,Bengal,Cat,2,27.2,39.82,183,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Simba,Beagle,Dog,3,3.5,38.74,106,Normal,Active and Happy,Continue regular monitoring
Simba,Bengal,Cat,8,10.1,39.05,137,Normal,Active and Happy,Continue regular monitoring
Zoe,Labrador Retriever,Dog,9,21.5,39.82,131,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Rocky,Labrador Retriever,Dog,8,22.8,37.17,187,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Zoe,Siamese,Cat,7,5.5,39.1,135,Normal,Active and Happy,Continue regular monitoring
Rocky,Siamese,Cat,17,7.3,38.48,114,Normal,Calm and Relaxed,Continue regular monitoring
Jack,Siamese,Cat,16,3.7,38.71,147,Normal,Calm and Relaxed,Continue regular monitoring
Charlie,Labrador Retriever,Dog,10,20.1,38.79,106,Normal,Active and Happy,Continue regular monitoring
Rocky,Bengal,Cat,9,16.6,38.75,121,Normal,Active and Happy,Continue regular monitoring
Daisy,Poodle,Dog,12,23.2,37.39,159,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Daisy,Maine Coon,Cat,13,25.3,38.15,109,Normal,Calm and Relaxed,Continue regular monitoring
Max,Labrador Retriever,Dog,5,28.4,38.89,98,Normal,Active and Happy,Continue regular monitoring
Charlie,Domestic Shorthair,Cat,2,8.3,38.73,130,Normal,Active and Happy,Continue regular monitoring
Cooper,Bulldog,Dog,9,11.6,38.49,81,Normal,Active and Happy,Continue regular monitoring
Molly,Chihuahua,Dog,8,3.9,38.62,142,Normal,Active and Happy,Continue regular monitoring
Toby,Beagle,Dog,2,5.3,40.05,196,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Max,Bulldog,Dog,4,9.6,38.62,81,Normal,Active and Happy,Continue regular monitoring
Lucy,Bulldog,Dog,15,17.5,37.42,163,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Rocky,Golden Retriever,Dog,15,27.1,39.66,145,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Buddy,German Shepherd,Dog,15,31.0,38.66,83,Normal,Calm and Relaxed,Continue regular monitoring
Zoe,Poodle,Dog,8,19.8,38.02,102,Normal,Active and Happy,Continue regular monitoring
Toby,Sphynx,Cat,6,3.1,39.16,137,Normal,Active and Happy,Continue regular monitoring
Jack,Chihuahua,Dog,5,4.6,39.2,124,Normal,Active and Happy,Continue regular monitoring
Tiger,Persian,Cat,1,4.2,38.14,139,Normal,Active and Happy,Continue regular monitoring
Lucy,Bulldog,Dog,7,19.4,38.93,87,Normal,Active and Happy,Continue regular monitoring
Tiger,Bengal,Cat,6,21.7,37.33,159,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Simba,Poodle,Dog,7,15.5,38.48,99,Normal,Active and Happy,Continue regular monitoring
Oscar,Golden Retriever,Dog,5,34.6,37.36,139,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Molly,Bulldog,Dog,17,17.2,40.36,149,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Buddy,Persian,Cat,17,3.5,38.43,134,Normal,Calm and Relaxed,Continue regular monitoring
Max,Bengal,Cat,6,21.5,39.06,118,Normal,Active and Happy,Continue regular monitoring
Buddy,Domestic Shorthair,Cat,8,5.1,38.7,125,Normal,Active and Happy,Continue regular monitoring
Jack,Ragdoll,Cat,8,30.1,38.44,122,Normal,Active and Happy,Continue regular monitoring
Simba,Bulldog,Dog,12,14.9,39.04,107,Normal,Active and Happy,Continue regular monitoring
Bella,Maine Coon,Cat,1,38.0,38.2,107,Normal,Active and Happy,Continue regular monitoring
Lucy,Labrador Retriever,Dog,9,26.0,38.43,90,Normal,Active and Happy,Continue regular monitoring
Rocky,German Shepherd,Dog,13,21.9,38.59,85,Normal,Calm and Relaxed,Continue regular monitoring
Max,Domestic Shorthair,Cat,1,6.7,36.99,140,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Ruby,Domestic Shorthair,Cat,15,5.4,38.75,112,Normal,Calm and Relaxed,Continue regular monitoring
Oscar,Chihuahua,Dog,2,7.3,38.97,145,Normal,Active and Happy,Continue regular monitoring
Leo,Chihuahua,Dog,6,3.3,39.08,124,Normal,Active and Happy,Continue regular monitoring
Simba,Beagle,Dog,2,5.6,39.05,115,Normal,Active and Happy,Continue regular monitoring
Coco,Ragdoll,Cat,10,14.8,38.57,127,Normal,Active and Happy,Continue regular monitoring
Cooper,Persian,Cat,8,5.8,38.41,121,Normal,Active and Happy,Continue regular monitoring
Max,Maine Coon,Cat,5,35.8,38.64,131,Normal,Active and Happy,Continue regular monitoring
Lucy,Bulldog,Dog,6,12.0,38.07,161,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Coco,Bulldog,Dog,16,18.6,37.29,199,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Charlie,Siamese,Cat,6,4.2,38.34,142,Normal,Active and Happy,Continue regular monitoring
Zoe,Persian,Cat,7,5.1,37.82,171,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Max,Siamese,Cat,3,3.0,38.65,143,Normal,Active and Happy,Continue regular monitoring
Jack,Sphynx,Cat,6,6.1,39.05,130,Normal,Active and Happy,Continue regular monitoring
Buddy,Labrador Retriever,Dog,4,27.6,38.67,96,Normal,Active and Happy,Continue regular monitoring
Zoe,Persian,Cat,6,7.4,38.57,141,Normal,Active and Happy,Continue regular monitoring
Daisy,Bengal,Cat,5,13.5,38.47,118,Normal,Active and Happy,Continue regular monitoring
Coco,Ragdoll,Cat,6,31.1,38.2,130,Normal,Active and Happy,Continue regular monitoring
Cooper,Ragdoll,Cat,5,28.4,38.33,119,Normal,Active and Happy,Continue regular monitoring
Daisy,Bulldog,Dog,12,23.3,37.81,135,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Lucy,Bulldog,Dog,8,16.5,38.6,91,Normal,Active and Happy,Continue regular monitoring
Tiger,Golden Retriever,Dog,6,39.3,38.5,91,Normal,Active and Happy,Continue regular monitoring
Toby,Bengal,Cat,9,14.2,38.96,122,Normal,Active and Happy,Continue regular monitoring
Simba,Poodle,Dog,8,9.7,39.94,157,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Cooper,Sphynx,Cat,11,6.1,38.98,146,Normal,Active and Happy,Continue regular monitoring
Jack,Labrador Retriever,Dog,5,17.1,38.78,85,Normal,Active and Happy,Continue regular monitoring
Daisy,Maine Coon,Cat,1,25.7,38.29,121,Normal,Active and Happy,Continue regular monitoring
Oscar,Poodle,Dog,6,17.8,38.61,104,Normal,Active and Happy,Continue regular monitoring
Max,Persian,Cat,3,3.2,38.31,130,Normal,Active and Happy,Continue regular monitoring
Bella,Siamese,Cat,11,1.0,39.79,171,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Milo,Siamese,Cat,15,6.6,38.97,128,Normal,Calm and Relaxed,Continue regular monitoring
Max,Labrador Retriever,Dog,3,30.7,38.73,92,Normal,Active and Happy,Continue regular monitoring
Ruby,Persian,Cat,5,3.5,36.55,184,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Luna,Domestic Shorthair,Cat,5,7.1,38.37,130,Normal,Active and Happy,Continue regular monitoring
Toby,Domestic Shorthair,Cat,2,6.9,38.58,125,Normal,Active and Happy,Continue regular monitoring
Cooper,Siamese,Cat,17,4.6,38.42,125,Normal,Calm and Relaxed,Continue regular monitoring
Zoe,Labrador Retriever,Dog,14,41.3,39.54,140,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Charlie,Beagle,Dog,9,4.0,38.91,119,Normal,Active and Happy,Continue regular monitoring
Jack,Poodle,Dog,10,13.8,38.67,113,Normal,Active and Happy,Continue regular monitoring
Max,Beagle,Dog,13,3.0,39.85,151,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Max,Bulldog,Dog,2,13.2,39.54,168,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Leo,Beagle,Dog,3,4.4,38.66,105,Normal,Active and Happy,Continue regular monitoring
Buddy,Bulldog,Dog,16,17.5,38.97,91,Normal,Calm and Relaxed,Continue regular monitoring
Simba,Poodle,Dog,3,12.5,40.33,160,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Zoe,Domestic Shorthair,Cat,12,3.8,40.11,183,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Tiger,Siamese,Cat,4,3.1,38.59,129,Normal,Active and Happy,Continue regular monitoring
Milo,Labrador Retriever,Dog,11,41.3,37.26,177,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Toby,Domestic Shorthair,Cat,15,3.1,38.02,160,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Oscar,Siamese,Cat,1,8.7,38.81,113,Normal,Active and Happy,Continue regular monitoring
Luna,Golden Retriever,Dog,9,33.4,38.73,88,Normal,Active and Happy,Continue regular monitoring
Molly,Labrador Retriever,Dog,3,28.6,38.62,103,Normal,Active and Happy,Continue regular monitoring
Cooper,Beagle,Dog,5,3.1,38.85,117,Normal,Active and Happy,Continue regular monitoring
Max,Labrador Retriever,Dog,10,35.1,38.45,92,Normal,Active and Happy,Continue regular monitoring
