Pet_Name,Breed,Pet_Type,Age_Years,Weight_kg,Temperature_C,Heartbeat_BPM,Health_Status,Current_Behavior,Recommendation
Milo,Labrador Retriever,Dog,2.0,29.8,38.21,95.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Siamese,Cat,9.0,4.6,38.99,111.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Golden Retriever,Dog,13.0,40.2,38.43,100.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Charlie,Persian,Cat,1.0,4.1,37.96,129.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Ragdoll,Cat,9.0,26.7,39.925,143.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Cooper,Beagle,Dog,9.0,1.0,38.73,117.0,Normal,Active And Happy,Continue Regular Monitoring
Rocky,Beagle,Dog,15.0,1.0,39.925,164.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Bella,Ragdoll,Cat,8.0,40.9,38.66,128.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Beagle,Dog,8.0,2.1,39.58,149.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Leo,Ragdoll,Cat,3.0,28.3,38.49,119.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Domestic Shorthair,Cat,9.0,6.7,38.88,124.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Persian,Cat,6.0,1.0,39.03,168.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Coco,Poodle,Dog,13.0,17.4,38.71,109.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Charlie,Labrador Retriever,Dog,10.0,37.7,39.925,147.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Milo,Siamese,Cat,4.0,1.0,38.54,110.0,Normal,Active And Happy,Continue Regular Monitoring
Zoe,Bulldog,Dog,3.0,16.8,39.925,172.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Rocky,German Shepherd,Dog,11.0,20.1,38.64,88.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Labrador Retriever,Dog,9.0,42.2,39.925,184.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Buddy,Golden Retriever,Dog,7.0,32.1,39.925,190.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Rocky,Beagle,Dog,10.0,5.6,38.67,107.0,Normal,Active And Happy,Continue Regular Monitoring
Zoe,Ragdoll,Cat,1.0,38.5,38.86,123.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,German Shepherd,Dog,1.0,24.0,38.81,91.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Persian,Cat,7.0,6.3,37.87,175.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Simba,Sphynx,Cat,2.0,1.5,39.45,140.0,Normal,Active And Happy,Continue Regular Monitoring
Rocky,Domestic Shorthair,Cat,14.0,4.6,39.925,132.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Coco,Sphynx,Cat,3.0,7.4,39.62,128.0,Normal,Active And Happy,Continue Regular Monitoring
Molly,Bengal,Cat,8.0,11.2,39.925,161.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Jack,Golden Retriever,Dog,11.0,32.8,38.53,79.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Maine Coon,Cat,9.0,29.7,38.17,107.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Ragdoll,Cat,1.0,30.3,38.59,120.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Siamese,Cat,7.0,8.6,38.7,138.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Bengal,Cat,2.0,17.4,38.43,132.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Persian,Cat,7.0,2.9,38.32,146.0,Normal,Active And Happy,Continue Regular Monitoring
Luna,Golden Retriever,Dog,4.0,37.1,38.85,95.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Labrador Retriever,Dog,9.0,35.7,38.49,89.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Poodle,Dog,14.0,6.8,38.61,88.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Coco,Bulldog,Dog,8.0,2.5,37.61,177.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Simba,Bulldog,Dog,10.0,14.6,38.96,105.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,German Shepherd,Dog,3.0,26.6,39.925,172.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Simba,Domestic Shorthair,Cat,15.0,3.4,38.42,127.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Zoe,Bulldog,Dog,1.0,11.3,38.37,85.0,Normal,Active And Happy,Continue Regular Monitoring
Max,Siamese,Cat,5.0,5.5,38.64,119.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,Poodle,Dog,1.0,17.3,38.83,94.0,Normal,Active And Happy,Continue Regular Monitoring
Milo,Labrador Retriever,Dog,13.0,20.1,37.56500000000001,143.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Charlie,Sphynx,Cat,5.0,6.3,37.56500000000001,202.5,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Daisy,Siamese,Cat,17.0,6.6,38.86,116.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Oscar,Labrador Retriever,Dog,16.0,24.0,38.56,62.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Daisy,Golden Retriever,Dog,11.0,41.5,38.65,102.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Bulldog,Dog,6.0,19.1,38.1,159.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Rocky,Beagle,Dog,6.0,3.2,38.64,93.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Bulldog,Dog,14.0,2.1,37.82,164.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Coco,Maine Coon,Cat,4.0,46.0,38.38,128.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Siamese,Cat,8.0,9.9,38.68,147.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Siamese,Cat,11.0,6.2,39.61,152.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Buddy,Bulldog,Dog,16.0,17.7,38.53,87.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Luna,Persian,Cat,4.0,6.3,38.4,136.0,Normal,Active And Happy,Continue Regular Monitoring
Max,German Shepherd,Dog,17.0,27.9,38.3,84.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Buddy,Poodle,Dog,6.0,8.4,38.72,85.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Labrador Retriever,Dog,4.0,23.6,39.925,146.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Jack,Chihuahua,Dog,3.0,5.3,39.35,124.0,Normal,Active And Happy,Continue Regular Monitoring
Molly,Ragdoll,Cat,2.0,38.3,38.35,104.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,Sphynx,Cat,13.0,10.6,38.87,127.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Sphynx,Cat,7.0,4.5,39.35,132.0,Normal,Active And Happy,Continue Regular Monitoring
Milo,Ragdoll,Cat,5.0,25.0,38.31,127.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,German Shepherd,Dog,8.0,16.5,38.42,103.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Beagle,Dog,3.0,6.5,38.98,113.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Beagle,Dog,2.0,4.3,39.925,150.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Leo,Beagle,Dog,6.0,7.5,37.96,160.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Oscar,Chihuahua,Dog,1.0,5.6,38.56,123.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Bengal,Cat,11.0,12.9,39.925,190.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Rocky,Beagle,Dog,6.0,4.7,38.66,109.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,Poodle,Dog,11.0,16.6,38.5,105.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Ragdoll,Cat,2.0,34.1,38.4,105.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Beagle,Dog,4.0,6.2,37.71,199.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Cooper,Siamese,Cat,4.0,2.5,39.84,152.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Luna,Persian,Cat,1.0,9.6,38.32,148.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,Chihuahua,Dog,14.0,7.0,39.925,199.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Molly,Domestic Shorthair,Cat,17.0,8.9,38.81,134.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Milo,Poodle,Dog,9.0,21.8,38.91,96.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Chihuahua,Dog,5.0,5.2,38.75,126.0,Normal,Active And Happy,Continue Regular Monitoring
Luna,Chihuahua,Dog,8.0,7.3,39.925,158.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Zoe,Domestic Shorthair,Cat,5.0,6.0,38.23,117.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Chihuahua,Dog,13.0,3.7,39.11,127.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Sphynx,Cat,2.0,6.8,39.17,150.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Golden Retriever,Dog,1.0,25.9,38.05,85.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Chihuahua,Dog,15.0,7.9,38.53,122.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Lucy,German Shepherd,Dog,14.0,29.7,38.65,74.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Cooper,Maine Coon,Cat,12.0,35.5,38.52,122.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,German Shepherd,Dog,12.0,39.1,38.53,88.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Persian,Cat,17.0,4.0,38.73,119.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Oscar,Sphynx,Cat,3.0,3.6,39.01,155.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,German Shepherd,Dog,12.0,44.4,38.48,89.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,German Shepherd,Dog,8.0,31.0,38.65,87.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,German Shepherd,Dog,17.0,30.8,37.9,76.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Jack,Ragdoll,Cat,17.0,34.4,39.925,161.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Buddy,Domestic Shorthair,Cat,9.0,5.1,38.71,123.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Domestic Shorthair,Cat,14.0,4.7,38.68,118.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Bulldog,Dog,14.0,17.5,38.93,76.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Siamese,Cat,8.0,4.6,38.69,129.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,German Shepherd,Dog,14.0,27.4,37.8,125.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Rocky,Labrador Retriever,Dog,6.0,26.2,39.84,145.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Coco,Chihuahua,Dog,16.0,3.9,39.05,135.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Maine Coon,Cat,4.0,18.4,37.91,126.0,Normal,Active And Happy,Continue Regular Monitoring
Max,Bulldog,Dog,13.0,19.9,38.76,83.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Simba,Beagle,Dog,4.0,1.9,37.56500000000001,175.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Charlie,Ragdoll,Cat,9.0,32.8,39.925,125.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Tiger,Domestic Shorthair,Cat,5.0,4.7,38.41,135.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,Maine Coon,Cat,9.0,27.9,38.68,135.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Bulldog,Dog,9.0,17.2,38.6,85.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Ragdoll,Cat,2.0,45.7,38.62,119.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Poodle,Dog,1.0,19.7,38.87,101.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Poodle,Dog,8.0,10.4,38.74,79.0,Normal,Active And Happy,Continue Regular Monitoring
Luna,Labrador Retriever,Dog,1.0,26.2,38.77,99.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Maine Coon,Cat,3.0,34.4,39.925,172.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Ruby,Persian,Cat,17.0,6.8,38.58,126.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Charlie,Maine Coon,Cat,2.0,37.6,38.22,115.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Ragdoll,Cat,7.0,43.4,39.64,157.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Charlie,Bengal,Cat,3.0,5.0,38.7,113.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Sphynx,Cat,4.0,11.2,39.22,135.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,German Shepherd,Dog,11.0,30.6,39.42,116.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Milo,German Shepherd,Dog,10.0,33.2,37.56500000000001,166.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Luna,Ragdoll,Cat,8.0,27.7,38.41,122.0,Normal,Active And Happy,Continue Regular Monitoring
Max,Labrador Retriever,Dog,14.0,38.9,38.41,84.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Rocky,Bengal,Cat,9.0,17.4,38.88,116.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Labrador Retriever,Dog,5.0,34.0,39.15,156.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Leo,Poodle,Dog,4.0,14.2,38.71,93.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Bulldog,Dog,6.0,16.0,38.62,95.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Bengal,Cat,9.0,2.7,38.72,140.0,Normal,Active And Happy,Continue Regular Monitoring
Ruby,Bengal,Cat,6.0,20.5,38.54,132.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Poodle,Dog,16.0,11.7,38.69,115.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Milo,Labrador Retriever,Dog,10.0,38.8,38.79,79.0,Normal,Active And Happy,Continue Regular Monitoring
Luna,Beagle,Dog,2.0,8.3,37.56500000000001,186.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Luna,Ragdoll,Cat,9.0,32.4,39.46,163.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Luna,Ragdoll,Cat,1.0,28.9,38.52,120.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Labrador Retriever,Dog,5.0,37.0,38.12,68.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Poodle,Dog,2.0,23.8,38.9,96.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,German Shepherd,Dog,14.0,20.7,38.29,95.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Molly,Bengal,Cat,2.0,27.2,39.82,183.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Simba,Beagle,Dog,3.0,3.5,38.74,106.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Bengal,Cat,8.0,10.1,39.05,137.0,Normal,Active And Happy,Continue Regular Monitoring
Zoe,Labrador Retriever,Dog,9.0,21.5,39.82,131.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Rocky,Labrador Retriever,Dog,8.0,22.8,37.56500000000001,187.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Zoe,Siamese,Cat,7.0,5.5,39.1,135.0,Normal,Active And Happy,Continue Regular Monitoring
Rocky,Siamese,Cat,17.0,7.3,38.48,114.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Jack,Siamese,Cat,16.0,3.7,38.71,147.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Charlie,Labrador Retriever,Dog,10.0,20.1,38.79,106.0,Normal,Active And Happy,Continue Regular Monitoring
Rocky,Bengal,Cat,9.0,16.6,38.75,121.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Poodle,Dog,12.0,23.2,37.56500000000001,159.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Daisy,Maine Coon,Cat,13.0,25.3,38.15,109.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Labrador Retriever,Dog,5.0,28.4,38.89,98.0,Normal,Active And Happy,Continue Regular Monitoring
Charlie,Domestic Shorthair,Cat,2.0,8.3,38.73,130.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Bulldog,Dog,9.0,11.6,38.49,81.0,Normal,Active And Happy,Continue Regular Monitoring
Molly,Chihuahua,Dog,8.0,3.9,38.62,142.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Beagle,Dog,2.0,5.3,39.925,196.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Max,Bulldog,Dog,4.0,9.6,38.62,81.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Bulldog,Dog,15.0,17.5,37.56500000000001,163.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Rocky,Golden Retriever,Dog,15.0,27.1,39.66,145.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Buddy,German Shepherd,Dog,15.0,31.0,38.66,83.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Zoe,Poodle,Dog,8.0,19.8,38.02,102.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Sphynx,Cat,6.0,3.1,39.16,137.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Chihuahua,Dog,5.0,4.6,39.2,124.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Persian,Cat,1.0,4.2,38.14,139.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Bulldog,Dog,7.0,19.4,38.93,87.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Bengal,Cat,6.0,21.7,37.56500000000001,159.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Simba,Poodle,Dog,7.0,15.5,38.48,99.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Golden Retriever,Dog,5.0,34.6,37.56500000000001,139.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Molly,Bulldog,Dog,17.0,17.2,39.925,149.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Buddy,Persian,Cat,17.0,3.5,38.43,134.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Bengal,Cat,6.0,21.5,39.06,118.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Domestic Shorthair,Cat,8.0,5.1,38.7,125.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Ragdoll,Cat,8.0,30.1,38.44,122.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Bulldog,Dog,12.0,14.9,39.04,107.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,Maine Coon,Cat,1.0,38.0,38.2,107.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Labrador Retriever,Dog,9.0,26.0,38.43,90.0,Normal,Active And Happy,Continue Regular Monitoring
Rocky,German Shepherd,Dog,13.0,21.9,38.59,85.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Max,Domestic Shorthair,Cat,1.0,6.7,37.56500000000001,140.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Ruby,Domestic Shorthair,Cat,15.0,5.4,38.75,112.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Oscar,Chihuahua,Dog,2.0,7.3,38.97,145.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Chihuahua,Dog,6.0,3.3,39.08,124.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Beagle,Dog,2.0,5.6,39.05,115.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Ragdoll,Cat,10.0,14.8,38.57,127.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Persian,Cat,8.0,5.8,38.41,121.0,Normal,Active And Happy,Continue Regular Monitoring
Max,Maine Coon,Cat,5.0,35.8,38.64,131.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Bulldog,Dog,6.0,12.0,38.07,161.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Coco,Bulldog,Dog,16.0,18.6,37.56500000000001,199.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Charlie,Siamese,Cat,6.0,4.2,38.34,142.0,Normal,Active And Happy,Continue Regular Monitoring
Zoe,Persian,Cat,7.0,5.1,37.82,171.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Max,Siamese,Cat,3.0,3.0,38.65,143.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Sphynx,Cat,6.0,6.1,39.05,130.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Labrador Retriever,Dog,4.0,27.6,38.67,96.0,Normal,Active And Happy,Continue Regular Monitoring
Zoe,Persian,Cat,6.0,7.4,38.57,141.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Bengal,Cat,5.0,13.5,38.47,118.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Ragdoll,Cat,6.0,31.1,38.2,130.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Ragdoll,Cat,5.0,28.4,38.33,119.0,Normal,Active And Happy,Continue Regular Monitoring
Daisy,Bulldog,Dog,12.0,23.3,37.81,135.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
